,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
062718_112 green_LineProfile_8.tif,13.82,120.0,22.0,0.09537,6.67,99.61,3
062918_12 green_LineProfile_3.tif,24.17,29.77,27.0,0.04801,0.1325,19.97,6
062918_12 green_LineProfile_4.tif,14.52,22.46,19.0,0.02588,0.07661,43.23,3
062918_12 green_LineProfile_5.tif,14.12,25.38,24.0,0.02297,0.1292,37.06,4
062918_12 green_LineProfile_6.tif,68.1,72.38,69.0,0.02977,0.06041,30.8,10
062918_12 green_LineProfile_7.tif,114.1,116.5,115.0,0.1034,0.1057,22.77,19
062918_12 green_LineProfile_8.tif,22.22,28.76,25.0,0.01317,0.04878,23.08,5
062918_14 green_LineProfile_1.tif,56.02,90.64,76.0,0.05426,0.9808,33.8,5
062918_14 green_LineProfile_2.tif,40.15,52.93,45.0,0.05743,0.3151,28.41,7
062918_14 green_LineProfile_3.tif,76.12,115.0,114.0,0.1345,1.687,51.94,6
062918_14 green_LineProfile_4.tif,40.29,63.3,59.0,0.06661,0.7455,54.07,6
062918_14 green_LineProfile_5.tif,34.73,84.95,62.0,0.09146,3.106,74.18,4
062918_15 green_LineProfile_1.tif,88.56,90.81,90.0,0.07578,0.1127,34.58,9
062918_15 green_LineProfile_2.tif,41.1,49.4,47.0,0.1146,0.6416,82.36,5
062918_15 green_LineProfile_4.tif,28.7,57.71,40.0,0.09692,1.712,47.64,4
062918_15 green_LineProfile_5.tif,55.61,105.6,80.0,0.09838,2.203,54.28,4
062918_15 green_LineProfile_6.tif,5.261,17.53,14.0,0.07724,0.4587,29.29,2
062918_15 green_LineProfile_8.tif,68.98,91.44,78.0,0.03991,0.4754,32.09,8
062918_17 green_LineProfile_1.tif,1.0,63.02,7.0,0.1123,2.181,94.77,1
062918_17 green_LineProfile_2.tif,1.0,56.0,2.0,0.07292,2.492,81.09,1
062918_17 green_LineProfile_3.tif,1.0,15.66,10.0,0.05663,0.4148,40.32,1
062918_17 green_LineProfile_4.tif,1.0,41.28,15.0,0.05456,1.141,60.13,1
062918_17 green_LineProfile_5.tif,1.0,89.87,5.0,0.1669,6.804,83.59,1
062918_17 green_LineProfile_6.tif,1.0,20.53,5.0,0.06217,0.641,32.64,1
062918_17 green_LineProfile_7.tif,82.52,86.93,86.0,0.02093,0.0635,36.72,7
062918_17 green_LineProfile_8.tif,94.11,98.53,96.0,0.03021,0.0594,18.75,17
062918_18 green_LineProfile_1.tif,64.34,71.63,66.0,0.02058,0.06801,27.49,17
062918_18 green_LineProfile_2.tif,63.11,65.49,64.0,0.0141,0.01853,24.07,11
062918_18 green_LineProfile_3.tif,69.15,71.92,71.0,0.0101,0.01819,17.81,16
062918_18 green_LineProfile_4.tif,41.51,56.76,48.0,0.02722,0.2256,41.29,10
062918_18 green_LineProfile_5.tif,100.5,104.8,104.0,0.02516,0.03898,17.93,17
062918_18 green_LineProfile_6.tif,98.09,106.0,102.0,0.02034,0.06654,21.78,20
062918_18 green_LineProfile_7.tif,98.09,106.0,102.0,0.02034,0.06654,21.78,20
062918_18 green_LineProfile_8.tif,75.42,95.8,95.0,0.04406,0.571,36.14,14
062918_19 green_LineProfile_1.tif,1.0,7.72,2.0,0.03734,0.1323,45.5,1
062918_19 green_LineProfile_2.tif,1.48,13.52,2.0,0.01536,0.09787,72.38,1
062918_19 green_LineProfile_3.tif,24.95,30.65,27.0,0.01168,0.03356,29.96,4
062918_19 green_LineProfile_4.tif,17.39,18.88,18.0,0.01265,0.009373,24.39,3
062918_19 green_LineProfile_5.tif,6.407,11.66,10.0,0.0165,0.04916,22.78,2
062918_19 green_LineProfile_6.tif,57.19,60.87,59.0,0.02282,0.05224,25.87,11
062918_19 green_LineProfile_7.tif,48.21,63.44,50.0,0.03308,0.2094,21.87,12
062918_19 green_LineProfile_8.tif,89.65,114.0,102.0,0.0469,0.6483,47.64,17
062918_111 green_LineProfile_1.tif,75.05,83.7,78.0,0.03847,0.1421,33.4,9
062918_111 green_LineProfile_2.tif,86.04,98.0,87.0,0.05961,0.3027,26.44,17
062918_111 green_LineProfile_3.tif,68.42,72.83,72.0,0.04243,0.05823,20.79,17
062918_111 green_LineProfile_4.tif,8.362,10.73,9.0,0.02393,0.03621,13.1,3
062918_111 green_LineProfile_5.tif,30.96,41.02,34.0,0.0353,0.1122,37.62,7
062918_111 green_LineProfile_6.tif,1.0,11.66,4.0,0.06789,0.2923,38.44,1
062918_111 green_LineProfile_7.tif,3.01,6.799,6.0,0.0405,0.0942,22.41,2
