,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
051817_111 green_LineProfile_2.tif,67.47,76,76,0.0929,0.5007,43.23,9
051817_111 green_LineProfile_3.tif,67.04,76,75,0.08756,0.5042,41.55,8
051817_111 green_LineProfile_4.tif,68.26,76,76,0.06368,0.3356,42.4,9
051817_111 green_LineProfile_5.tif,68.28,76,76,0.07223,0.3856,38.19,9
051817_111 green_LineProfile_6.tif,67.42,76,76,0.07863,0.4858,40.7,10
051817_111 green_LineProfile_7.tif,67.77,76,76,0.1133,0.6494,33.83,8
051817_15a green_LineProfile_1.tif,27.04,52.58,39,0.09901,1.585,50.31,5
051817_15a green_LineProfile_2.tif,27.49,50.43,37,0.1079,1.442,41.8,4
051817_15a green_LineProfile_3.tif,27.49,50.43,37,0.1079,1.442,41.8,4
051817_15a green_LineProfile_4.tif,64.24,93,85,0.1271,2.384,58.93,7
051817_15a green_LineProfile_5.tif,56.21,93,90,0.1347,3.144,66.3,7
051817_15a green_LineProfile_6.tif,56.07,93,91,0.1773,4.103,59.42,4
051817_15a green_LineProfile_7.tif,5.517,42.52,8,0.1594,3.833,43.28,2
051817_15a green_LineProfile_8.tif,56.36,93,93,0.5694,12.3,54.9,3
051817_15b green - v2_LineProfile_1.tif,62.31,90.69,66,0.08661,1.487,52.76,8
051817_15b green - v2_LineProfile_2.tif,10.33,93,89,0.09904,4.203,96.47,3
051817_15b green - v2_LineProfile_3.tif,29.12,90.63,56,0.05869,2.205,93.71,8
051817_15b green - v2_LineProfile_4.tif,55.1,93,90,0.09716,2.314,61.03,4
051817_15b green - v2_LineProfile_5.tif,62.55,86.7,81,0.1021,1.457,50.13,11
051817_15b green - v2_LineProfile_6.tif,21.8,42.17,33,0.06505,0.8363,37.79,4
051817_15b green - v2_LineProfile_7.tif,55.9,93,84,0.1315,2.73,53.34,6
051817_15b green - v2_LineProfile_8.tif,55.85,90.69,84,0.1299,2.601,55.19,5
051817_16a green_LineProfile_1.tif,20.91,31.92,27,0.0523,0.2302,25.07,1
051817_16a green_LineProfile_2.tif,24.19,30.7,27,0.04723,0.2058,63.56,2
051817_16a green_LineProfile_3.tif,21.46,31.67,27,0.03069,0.152,84.93,1
051817_16a green_LineProfile_4.tif,23.74,37.79,28,0.0788,0.6544,79.37,3
051817_16a green_LineProfile_5.tif,20.97,35.71,27,0.05077,0.3977,93.67,1
051817_16a green_LineProfile_6.tif,24.46,35.72,31,0.04028,0.1885,77.17,3
051817_16a green_LineProfile_7.tif,25.21,28.53,27,0.02695,0.0514,56.33,4
051817_16a green_LineProfile_8.tif,24.65,29.32,26,0.02577,0.05694,61.5,3
051817_16b green - v2_LineProfile_1.tif,68.58,94,85,0.1441,2.55,36.92,8
051817_16b green - v2_LineProfile_2.tif,68.39,94,77,0.1281,2.121,39.98,10
051817_16b green - v2_LineProfile_3.tif,1,2.635,1,0.08529,0.08677,22.16,1
051817_16b green - v2_LineProfile_4.tif,13.92,26.68,18,0.03543,0.2329,26.7,4
051817_16b green - v2_LineProfile_5.tif,53.96,63.74,60,0.01901,0.1015,23.98,12
051817_16b green - v2_LineProfile_6.tif,15.65,19.65,18,0.02413,0.04439,22.16,2
051817_16b green - v2_LineProfile_7.tif,45.19,46.82,46,0.01664,0.01355,38.33,9
051817_17a green_LineProfile_1.tif,52.85,65.45,62,0.05,0.2506,39.78,5
051817_17a green_LineProfile_2.tif,47.44,72.63,61,0.1281,1.81,48.87,3
051817_17a green_LineProfile_3.tif,12.04,41.75,26,0.1413,2.304,45.31,1
051817_17a green_LineProfile_4.tif,18.94,72.94,23,0.1315,3.669,87.3,1
051817_17a green_LineProfile_5.tif,21.43,63.57,26,0.1585,3.67,99.53,1
051817_17a green_LineProfile_6.tif,21.89,62.19,26,0.1364,2.796,100,1
051817_17a green_LineProfile_7.tif,21.34,58.9,27,0.1506,3.593,97.1,2
051817_17b green - v2_LineProfile_2.tif,,,,,,,1
051817_17b green - v2_LineProfile_3.tif,,,,,,,1
051817_17b green - v2_LineProfile_4.tif,53.96,91.65,59,0.06128,1.47,100,1
051817_17b green - v2_LineProfile_5.tif,70.08,90.28,71,0.01818,0.2009,64.51,4
051817_17b green - v2_LineProfile_6.tif,67.34,91.11,83,0.05521,0.7689,73.64,4
051817_17b green - v2_LineProfile_7.tif,52.77,58.53,58,0.01576,0.04171,34.31,6
051817_17b green - v2_LineProfile_8.tif,1,4.066,1,0.01324,0.01958,92.54,1
051817_19 green_LineProfile_1.tif,17.84,76,65,0.2529,5.215,94.17,2
051817_19green_LineProfile_2.tif,17.98,76,65,0.2862,7.427,94.4,2
051817_19 green_LineProfile_3.tif,21.07,76,65,0.2243,5.036,98.8,3
051817_19 green_LineProfile_4.tif,20.76,76,65,0.2332,5.253,97.09,3
051817_19 green_LineProfile_5.tif,43,76,62,0.1974,3.601,75.82,3
051817_19 green_LineProfile_6.tif,45.93,76,62,0.1912,3.471,66.16,6
051817_19 green_LineProfile_7.tif,43.15,76,65,0.2244,3.622,75.16,4
060117_22 green_LineProfile_1.tif,27.2,55.75,32,0.05911,0.8727,94.89,4
060117_22green_LineProfile_2.tif,18.11,61.46,32,0.06998,1.631,99.5,3
060117_22 green_LineProfile_3.tif,17.95,55.74,32,0.03554,0.6258,91.32,4
060117_22 green_LineProfile_4.tif,28.04,36.13,35,0.02451,0.07279,30.73,7
060117_22 green_LineProfile_5.tif,17.99,36.51,35,0.03951,0.2761,54.38,5
060117_22 green_LineProfile_6.tif,17.84,30.83,20,0.03543,0.2118,42.1,5
060117_22 green_LineProfile_7.tif,17.66,36.71,20,0.04529,0.4384,65.42,5
060117_23 green_LineProfile_1.tif,37.06,49.19,41,0.03625,0.2494,41.52,13
060117_23 green_LineProfile_2.tif,50.37,58.31,57,0.02592,0.1118,30.84,13
060117_23 green_LineProfile_3.tif,32.15,46.74,35,0.02025,0.1537,25.13,9
060117_23 green_LineProfile_4.tif,69.79,82,73,0.02641,0.1688,35.13,18
060117_23green_LineProfile_5.tif,65.3,82,73,0.04074,0.3471,46.79,13
060117_23 green_LineProfile_6.tif,1,31.71,7,0.03419,0.4698,54.88,1
060117_24 green_LineProfile_1.tif,18.74,20.13,19,0.01725,0.01813,97.22,2
060117_24 green_LineProfile_2.tif,47.68,49.26,49,0.02264,0.0234,25.45,11
060117_24 green_LineProfile_3.tif,15.68,17.13,16,0.0105,0.0117,26.06,4
060117_24 green_LineProfile_4.tif,64.41,75.45,69,0.03263,0.2325,35.03,23
060117_24 green_LineProfile_5.tif,30.27,52.87,38,0.03429,0.4714,28.85,3
060117_24 green_LineProfile_6.tif,1,81,70,0.05749,2.531,100,1
060117_24green_LineProfile_7.tif,2.049,79.88,38,0.1441,7.867,99.29,2
060117_25 green_LineProfile_1.tif,53.2,55.31,54,0.03222,0.04092,52.11,2
060117_25 green_LineProfile_2.tif,51.24,53.63,52,0.02567,0.03155,22.51,8
060117_25 green_LineProfile_3.tif,40.39,53.64,47,0.04102,0.2906,29.45,13
060117_25 green_LineProfile_4.tif,29.05,53.89,47,0.06744,1.038,40.59,7
060117_25 green_LineProfile_5.tif,18.19,88,84,0.09484,4.302,84.24,3
060117_25 green_LineProfile_6.tif,1,53.68,11,0.144,5.227,61.18,1
060117_25 green_LineProfile_7.tif,1,53.51,11,0.1322,4.372,63.31,1
060117_25 green_LineProfile_8.tif,1,53.58,42,0.3751,14.78,61.69,1
060117_26 green_LineProfile_1.tif,1,3.246,3,0.03912,0.03706,36.88,1
060117_26 green_LineProfile_2.tif,1,3.22,2,0.01933,0.03193,41.04,1
060117_26 green_LineProfile_3.tif,1,3.29,2,0.01451,0.02197,96.76,1
060117_26 green_LineProfile_4.tif,5.456,6.78,6,0.04764,0.03155,21.17,3
060117_26 green_LineProfile_5.tif,74.52,76.9,76,0.02908,0.04678,19.78,13
060117_26 green_LineProfile_6.tif,72.42,73.63,73,0.03714,0.0225,25.01,12
060117_26 green_LineProfile_7.tif,72.47,75.95,73,0.01934,0.02631,10.06,16
060117_26 green_LineProfile_8.tif,18.38,29.94,24,0.0345,0.1847,31.25,4
060117_27 green_LineProfile_1.tif,26.29,35.47,32,0.09858,0.4243,28.83,6
060117_27 green_LineProfile_2.tif,21.18,35.59,32,0.1081,0.7598,42.82,4
060117_27 green_LineProfile_3.tif,21.14,35.48,32,0.1172,0.7605,46.3,4
060117_27 green_LineProfile_4.tif,18.92,37.67,35,0.06068,0.6394,33.11,7
060117_27 green_LineProfile_5.tif,24.09,47.56,39,0.05287,0.6216,58.53,8
