,First X,Last X,Peak X,Peak Y,Area,%Area,Peak
093017-14 green - v2_LineProfile_3.tif,59.42,65.84,63.0,0.03724,0.1156,24.8,8
093017-14 green - v2_LineProfile_4.tif,66.25,70.4,70.0,0.02011,0.04219,22.0,9
093017-14 green - v2_LineProfile_5.tif,61.53,63.78,63.0,0.0207,0.02304,22.41,9
093017-14 green - v2_LineProfile_6.tif,59.41,63.89,63.0,0.04459,0.0912,17.15,8
093017-14 green - v2_LineProfile_7.tif,59.38,63.91,63.0,0.04328,0.1003,18.41,9
100217-12 green_LineProfile_1.tif,1.0,2.532,2.0,0.00467,0.003712,25.11,1
100217-12 green_LineProfile_2.tif,6.72,22.53,13.0,0.009951,0.06427,43.06,3
100217-12 green_LineProfile_3.tif,48.37,77.15,59.0,0.01183,0.1831,56.49,8
100217-12 green_LineProfile_4.tif,50.2,74.8,62.0,0.01316,0.1941,59.89,7
100217-12 green_LineProfile_5.tif,2.227,23.68,9.0,0.01532,0.1841,64.19,1
100217-12 green_LineProfile_6.tif,5.01,21.9,8.0,0.01381,0.1394,62.0,3
100217-12 green_LineProfile_7.tif,58.54,90.39,86.0,0.01609,0.2842,75.02,4
100217-13 green_LineProfile_1.tif,66.22,77.94,76.0,0.03726,0.2175,47.08,14
100217-13 green_LineProfile_2.tif,69.14,77.03,75.0,0.02065,0.08962,45.25,10
100217-13 green_LineProfile_3.tif,66.4,77.9,76.0,0.02868,0.1612,47.8,13
100217-13 green_LineProfile_4.tif,59.13,96.0,93.0,0.03144,0.521,78.54,13
100217-13 green_LineProfile_5.tif,67.11,79.63,76.0,0.01603,0.09182,30.22,11
100217-13 green_LineProfile_6.tif,81.46,96.0,93.0,0.02395,0.1851,33.79,14
100217-13 green_LineProfile_7.tif,85.01,96.0,93.0,0.02218,0.1023,54.37,12
100217-13 green_LineProfile_8.tif,61.32,96.0,93.0,0.02453,0.4842,98.08,8
100217-14 green_LineProfile_1.tif,1.0,1.923,1.0,0.03527,0.01628,100.0,1
100217-14 green_LineProfile_2.tif,1.0,1.718,1.0,0.02372,0.008511,100.0,1
100217-14 green_LineProfile_3.tif,1.0,1.599,1.0,0.0713,0.02134,100.0,1
100217-14 green_LineProfile_4.tif,1.0,2.486,2.0,0.003199,0.002781,100.0,1
100217-14 green_LineProfile_5.tif,1.0,1.648,1.0,0.008403,0.002721,100.0,1
100217-14 green_LineProfile_6.tif,32.14,39.41,33.0,0.02856,0.08179,46.8,6
100217-14 green_LineProfile_7.tif,14.73,22.4,19.0,0.01936,0.07579,53.54,5
100217-14 green_LineProfile_8.tif,1.0,1.689,1.0,0.03128,0.01078,61.18,1
100617-12 green_LineProfile_1.tif,2.731,4.286,4.0,0.003397,0.004289,61.69,2
100617-12 green_LineProfile_2.tif,1.0,1.57,1.0,0.003618,0.001031,95.03,1
100617-12 green_LineProfile_3.tif,13.36,18.6,17.0,0.003885,0.0112,26.79,5
100617-12 green_LineProfile_4.tif,14.1,25.93,21.0,0.02023,0.07401,90.98,5
100617-12 green_LineProfile_5.tif,23.78,26.44,25.0,0.002733,0.004287,63.65,4
100617-12 green_LineProfile_6.tif,2.617,3.392,3.0,0.003051,0.001182,58.29,2
100617-12 green_LineProfile_7.tif,21.36,31.32,23.0,0.008698,0.04851,77.38,4
100617-12 green_LineProfile_8.tif,2.699,3.225,3.0,0.002788,0.0007342,50.14,2
100617-13 green_LineProfile_1.tif,1.197,2.58,2.0,0.01044,0.007219,64.22,1
100617-13 green_LineProfile_2.tif,95.2,97.88,96.0,0.005697,0.008073,36.42,7
100617-13 green_LineProfile_3.tif,79.01,101.0,88.0,0.04036,0.5283,94.14,9
100617-13 green_LineProfile_4.tif,71.12,101.0,94.0,0.0814,1.547,97.17,12
100617-13 green_LineProfile_5.tif,75.11,101.0,96.0,0.08379,1.587,88.5,6
100617-13 green_LineProfile_6.tif,78.45,101.0,91.0,0.04606,0.7108,87.74,7
100617-13 green_LineProfile_7.tif,78.16,101.0,91.0,0.03492,0.5907,93.66,9
100617-13 green_LineProfile_8.tif,82.52,101.0,95.0,0.03726,0.4402,82.2,8
100617-14 green_LineProfile_1.tif,1.0,2.286,1.0,0.005172,0.004354,93.05,1
100617-14 green_LineProfile_2.tif,1.0,2.4,2.0,0.004048,0.004145,100.0,1
100617-14 green_LineProfile_3.tif,1.0,2.333,1.0,0.006536,0.007032,100.0,1
100617-14 green_LineProfile_5.tif,1.0,2.484,2.0,0.001865,0.001384,100.0,1
100617-14 green_LineProfile_6.tif,44.28,49.7,47.0,0.006222,0.01843,57.37,5
100617-14 green_LineProfile_7.tif,2.598,3.697,3.0,0.001332,0.0007318,45.61,2
100617-14 green_LineProfile_8.tif,1.933,3.253,3.0,0.003421,0.002233,100.0,1
